model,dataset,recall@1,recall@5,recall@10,flops,sparsity,memory
TAT-VPR-BoQ,Tokyo247,79.04761904761905,88.88888888888889,91.42857142857144,22434839347.6,0.6,56.6373291015625
TAT-VPR-BoQ,Eynsham,88.63588886567788,93.5366617923543,94.73992061834134,22434839347.6,0.6,56.6373291015625
TAT-VPR-MixVPR,Tokyo247,83.80952380952381,93.65079365079364,97.14285714285714,35488664218.0,0.0,30.66962432861328
TAT-VPR-MixVPR,Eynsham,88.21391268017548,92.9475663254648,94.23856277418008,35488664218.0,0.0,30.66962432861328
TAT-VPR-MixVPR,Tokyo247,83.17460317460318,93.65079365079364,96.82539682539682,32979779789.2,0.1,30.66962432861328
TAT-VPR-MixVPR,Eynsham,88.20555671610613,92.9475663254648,94.2510967202841,32979779789.2,0.1,30.66962432861328
TAT-VPR-MixVPR,Tokyo247,80.95238095238095,93.65079365079364,96.5079365079365,30435038208.4,0.2,30.66962432861328
TAT-VPR-MixVPR,Eynsham,88.12617505744726,92.93085439732609,94.20931689993732,30435038208.4,0.2,30.66962432861328
TAT-VPR-MixVPR,Tokyo247,81.26984126984127,93.015873015873,95.87301587301587,27890296627.6,0.3,30.66962432861328
TAT-VPR-MixVPR,Eynsham,88.06768330896178,92.90160852308334,94.16335909755588,27890296627.6,0.3,30.66962432861328
TAT-VPR-MixVPR,Tokyo247,80.95238095238095,92.6984126984127,95.87301587301587,25345555046.8,0.4,30.66962432861328
TAT-VPR-MixVPR,Eynsham,87.80447044077711,92.90160852308334,94.24691873824943,25345555046.8,0.4,30.66962432861328
TAT-VPR-MixVPR,Tokyo247,78.73015873015873,92.06349206349206,94.92063492063492,22800813466.0,0.5,30.66962432861328
TAT-VPR-MixVPR,Eynsham,87.42427407562148,92.84311677459786,94.16335909755588,22800813466.0,0.5,30.66962432861328
TAT-VPR-MixVPR,Tokyo247,74.60317460317461,87.61904761904762,91.42857142857144,20256071885.2,0.6,30.66962432861328
TAT-VPR-MixVPR,Eynsham,86.14163359097556,92.21641946939629,93.74973887612283,20256071885.2,0.6,30.66962432861328
